Original (English),Slovenian,Danish,German,Catalan (some entries require more context),Spanish (some entries require more context),Polish,English (changes)
Edit name,Uredi ime,Vælg navn,Name bearbeiten,Edita el nom,Editar nombre,edutuj imię,Edit name
What do you think is important for having a good life?,Kaj je po tvojem mnenju najbolj pomembno za dobro počutje vseh učencev razredu? ,Hvad synes du er en vigtig forudsætning for at have et godt liv?,Was ist deiner Meinung nach wichtig für ein gutes Leben?,Què creus que és important per tenir una bona vida?,¿Qué crees que es importante para tener una buena vida?,"Jak myślisz, co decyduje o dobrym życiu?",What do you think is important for having a good life?
Settings,Nastavitve,Indstillinger,Einstellungen,Configuració,Configuración,ustawienia,Settings
Answer 1,Odgovor 1,Svar 1,Antwort 1,Resposta 1,Respuesta 1,Odpowiedź 1,Answer 1
"Did you know that the Roma People are Europe’s largest minority? Out of an estimated 10 to 12 million Roma living in Europe.\n\nThe umbrella-term “Roma” encompasses diverse groups, including Roma, Sinti, Kale, Romanichels, Boyash/Rudari, Ashkali, Egyptians, Yenish, Dom, Lom, Rom and Abdal, as well as Traveller populations (gens du voyage, Gypsies, Camminanti, etc.).","Si vedel/a, da so Romi največja manjšina v Evropi? V Evropi živi od 10 do 12 milijonov Romov. Skupini izraz Romi vključuje raznolike skupine (na primer Rome, Sinte, Kale in druge) kakor tudi potujoče skupnosti.","Vidste du, at romafolket er Europas største minoritet? Ca. 10-12 millioner romaer bor i Europa. Paraplybetegnelsen ""roma"" omfatter forskellige grupper, herunder roma, sinti, kalé, romanichals, boyash/rudari, ashkali, yenish, dom, lom, rom og abdal samt rejsende folk (gens du voyage, camminanti, sigøjnere, osv.) - Mange opfatter 'sigøjnere' som et nedsættende ord, da det er forbundet med dehumaniserende fordomme.","Wusstest du, dass das Volk der Roma die größte Minderheit Europas ist? Von schätzungsweise 10 bis 12 Millionen Roma, die in Europa leben.\n\nDer Überbegriff ""Roma"" umfasst verschiedene Gruppen, darunter Roma, Sinti, Kale, Romanichels, Boyash/Rudari, Ashkali, Ägypter, Yenish, Dom, Lom, Rom und Abdal, sowie fahrende Bevölkerungsgruppen (gens du voyage, Gypsies, Camminanti, etc.).","Sabies que el poble gitano és la minoria més gran d’Europa? Hi ha entre 10 i 12 milions de gitanos que hi viuen.\n\nEl terme general ""gitano"" engloba diversos grups, inclosos gitanos, sinti, kale, romanichels, boyash/rudari, ashkali, egipcis, yenis, dom, Rom i Abdal, així com poblacions de viatgers (gens du voyage, Gypsies, Camminanti, etc.).","Sabías que el pueblo gitano es la minoría más grande de Europa? Hay entre 10 y 12 millones de gitanos que viven. \ N \ nEl término general ""gitano"" engloba varios grupos, incluidos gitanos, sinti, kale, romanichels, boyash/rudar, ashkal, egipcios, yeni, dom, rom y abdal, así como poblaciones de viajeros (genes du voyage, Gypsies, Camminanti, etc.).","Czy wiesz, że Romowie są największą mniejszością w Europie? Żyje ich w Europie około 10 do 12 milionów. \n\nOgólny termin Rom obejmuje bardzo zróżnicowane grupy, obejmujące Romów, Sinti, Kale, Domów, Jatów, Lomów, Lulich, Aszkali, Egipcjan Bałkańskich, Dombów, Bandżarów, Lambani, ale także społeczności nomadyczne, jak Trawelersi, Cyganie (Gypsies), Camminanti i inni ","Did you know that the Roma People are Europe’s largest minority? Out of an estimated 10 to 12 million Roma living in Europe.\n\nThe umbrella-term “Roma” encompasses diverse groups, including Roma, Sinti, Kale, Romanichels, Boyash/Rudari, Ashkali, Egyptians, Yenish, Dom, Lom, Rom and Abdal, as well as Traveller populations (gens du voyage, Gypsies, Camminanti, etc.)."
"If your friend/schoolmate tells you about a similar situation, what would you do to help her/him?","Kako bi pomagal prijatelju, če bi ti povedal za podoben dogodek?","Hvis en af dine venner, eller skolekammerater, fortalte dig om en lignende situation, hvad ville du så gøre for at hjælpe hende eller ham?","Wenn dein*e Freund*in oder Schulkamerad*in dir von einer ähnlichen Situation erzählt, was würdest du tun, um ihm oder ihr zu helfen?","Si un amic o amiga teves, o un company o companya d’escola et parla d’una situació similar, què faries per ajudar-lo o ajudar-la? ","Si un amigo o amiga tuya, o un compañero o compañera de escuela te habla de una situación similar, ¿qué harías para ayudarle o ayudarla?","Jeżeli Twoi: szkolny przyjaciel, przyjaciółka lub klasowy kolega, koleżanka opowiedzieliby Ci podobną historię, to co byś zrobił(a) aby mu/jej pomóc?","If your friend/schoolmate told you about a similar situation, what would you do to help them?"
Which percentage of Europeans do you believe that think citizens of their country would feel comfortable if their children had Roma schoolmates?,"Koliko Evropejcev bi se počutilo dobro, če bi njihov otrok imel romske sošolce?","Hvor mange procent af europæerne tror du vil være ok med, at deres børn havde roma-skolekammerater?","Wie viel Prozent von Europäer*innen glaubst du,  denken, dass  sich die Bürger ihres Landes wohl fühlen würden, wenn ihre Kinder Roma-Schulkameraden hätten?",Quin percentatge d’europeus creus que pensen que els ciutadans del seu país es sentirien còmodes si els seus fills tinguessin companys d’escola gitanos?,¿Qué porcentaje de europeos crees que piensan que los ciudadanos de su país se sentirían cómodos si sus hijos tuvieran compañeros de escuela gitanos?,"Jak myślisz, jaki procent Europejczyków uważa, że obywatele ich krajów czuli by się dobrze posyłając dzieci do szkoły, w której uczą się też Romowie?","""Citizens of my country would feel comfortable if their children had Roma schoolmates."" Guess what percentage of Europeans agree with this statement."
"Europe is the fourth largest Muslim population area in the world, reaching 43 million (2010) but Muslims in European countries are generally a minority. Although not all Muslim populations consume halal products in the same way, it is important that schools can provide them in their food service.","Evropa je četrto največje muslimansko področje na svetu. Leta 2010 je blo v Evropi 43 milijonov muslimanov, a v večini evropskih držav vseeno predstavljajo manjšino. Kljub temu, da vsi muslimani ne uživajo halal izdelkov na enak način, je pomembno, da šolska kuhinja zagotavlja takšne obroke. ","Europa er det fjerde største muslimske befolkningsområde i verden (med 43 millioner i 2010). Men muslimer er generelt en minoritet i Europa. Selvom ikke alle muslimske befolkninger spiser halalprodukter på samme måde, er det vigtigt, at skoler, der tilbyder mad til eleverne, også tilbyder halalprodukter.","Europa ist mit 43 Millionen Menschen (2010) das viertgrößte muslimische Bevölkerungsgebiet der Welt, aber die Muslime in den europäischen Ländern sind meistens eine Minderheit. Obwohl nicht alle muslimischen Bevölkerungsgruppen Halal-Produkte konsumieren, ist es wichtig, dass Schulen diese in ihrer Verpflegung anbieten können.","Europa és la quarta àrea de població musulmana del món, arribant als 43 milions (2010), però els musulmans dels països europeus solen ser minoritaris. Tot i que no totes les poblacions musulmanes consumeixen productes halal de la mateixa manera, és important que les escoles els puguin proporcionar al servei de menjar.","Europa es la cuarta área de población musulmana del mundo, llegando a los 43 millones (2010), pero los musulmanes de los países europeos suelen ser minoritarios. Aunque no todas las poblaciones musulmanas consumen productos halal igual, es importante que las escuelas los puedan proporcionar en el servicio de comida.","Europa pod względem wielkości populacji muzułmanów żyjących na tym obszarze zajmuje czwarte miejsce na świecie, a ich liczbę szacuje się na 43 miliony (2010). Mimo to w krajach europejskich muzułmanie stanowią mniejszość. Chociaż nie wszyscy muzułmanie spożywają w ten sam sposób żywność halal (dozwoloną), ważnym jest aby szkoły zapewniały im dostęp do takiego żywienia","Europe is the fourth largest Muslim population area in the world, reaching 43 million (2010) but Muslims in European countries are generally a minority. Although not all Muslim populations consume halal products in the same way, it is important that schools can provide them."
Hoe many \'Human Computers\' worked behind Apollo 11?,"Koliko ""človeških računalnikov"" je sodelovalo v projektu Apollo 11?",Hvor mange \'menneskelige computere\' arbejdede på Apollo 11-projektet?,Wie viele \'menschliche Computer\' arbeiteten an Apollo 11?,"Cuants ""ordinadors humans"" van treballar al projecte Apollo 11?","¿Cuantas ""computadoras humanas"" trabajaron en el proyecto Apollo 11?","Ile \""Ludzkich komputerów""\ pracowało przy programie Apollo 11?",How many \'Human Computers\' worked behind Apollo 11?
no,ne,nej,nein,no,no,nie,no
26 million,26 milijonov,26 millioner,26 Millionen,26 milions,26 millones,26 milionów,26 million
"If you were her friend, what would have you done?","Kaj bi storil/a, če bi bil/a njen/a prijatelj/ica?","Hvis du var hendes ven, hvad ville du så have gjort?","Wenn du ihr Freund wärst, was hättest du getan?","Si fos la teva amiga, què hauries fet?","Si fuera tu amiga, ¿qué habrías hecho?","Jeśli byś był(a) jej przyjacielem, przyjaciółką co być zrobił(a)?","If you were her friend, what would have you done?"
Back,Nazaj,Tilbage,Zurück,Enrera,Atrás,wstecz,Back
Short challenge txt goes here,Sem sodi besedilo kratkega izziva,Kort udfordringstekst her,Kurzer Herausforderungstext folgt hier,El text curt del repte va aquí,El texto corto del reto va aquí,uzupełnij tutaj tekst dla krótkiego wyzwania,Short challenge txt goes here
xpoints,xtočk,x point,x Punkte,x punts,x puntos,x punktów ,xpoints
"Children who live in poverty or are socially excluded are less likely to do well in school, to be healthy, or to realize their full potential in the future.","Otroci, ki živijo v revščini ali so izključeni iz družbe, so manj uspešni v šoli, slabšega zdravja in težje razvijajo svoje talente in sposobnosti. ","Børn, der lever i fattigdom, eller er socialt ekskluderet, har dårligere chancer for at klare sig godt i skolen, leve sundt og realisere deres fulde potentiale i fremtiden.","Kinder, die in Armut leben oder sozial ausgegrenzt sind, haben eine geringere Wahrscheinlichkeit, in der Schule gut abzuschneiden, gesund zu sein oder in der Zukunft ihr volles Potenzial auszuschöpfen.","Els nens que viuen en la pobresa o estan socialment exclosos tenen menys probabilitats de fer-ho bé a l’escola, de mantenir-se sans o d'assolir tot el seu potencial en el futur.","Los niños y niñas que viven en la pobreza o están socialmente excluidos tienen menos probabilidades de hacerlo bien en la escuela, de mantenerse sanos o de alcanzar todo su potencial en el futuro.","Dzieci żyjące w ubóstwie, społecznie wykluczone gorzej radzą sobie w szkole, są mniej zdrowe i rzadzko mają możliwość wykorzystać cały swój potencjał w przyszłości","Children who live in poverty or are socially excluded are less likely to do well in school, be healthy, or realize their full potential in the future."
Support,podpora,Hjælp,Unterstützung,Suport,Soporte,Pomoc,Support
"I would like her to come with us, but I won’t invite her because I’m afraid to be marginalised.","Želim si, da bi se nam pridružila, vendar me je strah, da bom izločen/a.","Jeg vil gerne have, at hun kommer med os, men jeg spørger hende ikke, fordi jeg er bange for, at jeg selv kommer til at blive holdt udenfor.","Ich würde gerne, dass sie mit uns kommt, aber ich lade sie nicht ein, weil ich Angst habe, ausgegrenzt zu werden.","M’agradaria que vingués amb nosaltres, però no la convidaré perquè tinc por de que em marginin.","Me gustaría que viniera con nosotros, pero no la invitaré porque tengo miedo de que me marginen.","Chciał(a)bym wziąć ją z nami, ale jej nie zaproszę, bo boję się odrzucenia przez grupę","I would like her to come with us, but I won’t invite her because I don't want to be excluded. "
"No, I don’t want her to play with us.","Ne, ne želim, da se igra z nami.","Nej, jeg vil ikke have, at hun skal lege med os.","Nein, ich will nicht, dass sie mit uns spielt.","No, no vull que jugui amb nosaltres.","No, no quiero que juegue con nosotros.","Nie, nie chcę by się z nami bawiła","No, I don’t want her to play with us."
level,nivo,Niveau,Level,nivell,nivel,poziom,level
Create your character,Ustvari svoj lik,Skab din karakter,Erstelle deinen Charakter,Crea el teu personatge,Crea tu personaje,Stwórz swoją postać,Create your character
350 thousand,350 tisoč,"350,000",350 Tausend,350 mil,350 mil,350 tysięcy,350 thousand
"The official languages in the EU are official languages in one or more of the EU countries. German is the official language in Germany and Austria. French is the official languages in France and one of two official languages in Belgium (Dutch being the other). Finland has two official languages: Finnish and Swedish. In Sweden the Sami language is recognized as a minority language. In Spain the official language is Spanish and e.g. Catalonian is recognized as a regional language. However, in the region of Catalonia Spanish and Catalonian are official languages.","Uradni jeziki v EU so uradni jeziki v eni ali več držav EU. Nemščina je uradni jezik v Nemčiji in Avstriji. Francoščina je uradni jezik v Franciji ter eden od treh uradnih jezikov v Beligiji (poleg nizozemščine in nemščine). Tudi Finska ima dva uradna jezika: finskega in švedskega. Na Švedskem je jezik sami prepoznan kot manjšinski jezik. V Španiji je uradni jezik španščina, katalonščina pa je regionalni jezik. Vseeno pa sta v Kataloniji uradna jezika španščina in katalonščina.","De officielle sprog i EU er officielle sprog i et eller flere af EU-landene. Tysk er det officielle sprog i Tyskland og Østrig. Fransk er det officielle sprog i Frankrig og et af tre officielle sprog i Belgien (hollandsk og tysk er de to andre). Finland har to officielle sprog: finsk og svensk. I Sverige anerkendes det samiske sprog som et mindretalssprog. I Spanien er det officielle sprog spansk, og f.eks. catalansk er anerkendt som et regionalt sprog. I regionen Catalonien er både spansk og catalansk dog officielle sprog.

",Die Amtssprachen in der EU sind Amtssprachen in einem oder mehreren EU-Ländern. Deutsch ist die Amtssprache in Deutschland und Österreich. Französisch ist die offizielle Sprache in Frankreich und eine von zwei offiziellen Sprachen in Belgien (Niederländisch ist die andere). Finnland hat zwei Amtssprachen: Finnisch und Schwedisch. In Schweden ist die samische Sprache als Minderheitensprache anerkannt. In Spanien ist die offizielle Sprache Spanisch und  Katalanisch ist als Regionalsprache anerkannt. In der Region Katalonien sind jedoch Spanisch und Katalonisch Amtssprachen.,"Les llengües oficials a la UE són llengües oficials en un o més països de la UE. L’alemany és la llengua oficial a Alemanya i Àustria. El francès és l'idioma oficial a França i un dels dos idiomes oficials a Bèlgica (l'altre és el neerlandès). Finlàndia té dos idiomes oficials: el finès i el suec. A Suècia es reconeix la llengua sami com a llengua minoritària. A Espanya l’idioma oficial és el castellà i, per exemple, el català és reconegut com a llengua regional. No obstant això, a la regió de Catalunya el castellà i el català són llengües oficials.","Las lenguas oficiales en la UE son lenguas oficiales en uno o más países de la UE. El alemán es la lengua oficial en Alemania y Austria. El francés es el idioma oficial en Francia y uno de los dos idiomas oficiales en Bélgica (el otro es el neerlandés). Finlandia tiene dos idiomas oficiales: el finlandés y el sueco. En Suecia se reconoce la lengua sami como lengua minoritaria. En España el idioma oficial es el castellano y, por ejemplo, el catalán es reconocido como lengua regional. Sin embargo, en la región de Cataluña el castellano y el catalán son lenguas oficiales.","Oficjalne języki Unii to języki urzędowe jednego lub większej liczby krajów UE. Niemiecki to język urzędowy w Niemczech i w Austrii. Francuski jest oficjalnym językiem Francji, ale też jednym z dwóch urzędowych w Belgii (drugim jest niederlandzki). Finowie posiadają dwa oficjalne języki - fiński i szwedzki. W Szwecji saamski jest uznawany za oficjalny język mniejszości. W Hiszpanii urzędowym językiem jest hiszpański, a np. kataloński uznawany jest za język regionalny. Nie mniej w samej Katalonii hiszpański i kataloński są równoprawnymi językami urzędowymi. ","The official languages in the EU are official languages in one or more of the EU countries. German is the official language in Germany and Austria. French is the official language in France and one of two official languages in Belgium (Dutch being the other). Finland has two official languages: Finnish and Swedish. In Sweden, the Sami language is recognized as a minority language. In Spain, the official language is Spanish and, e.g. Catalonian is recognized as a regional language. However, in the region of Catalonia, Spanish and Catalonian are official languages."
89 million,89 milijonov,89 millioner,89 Millionen,89 milions,89 millones,89 milionów,89 million
yes,da,Ja,Ja,sí,sí,tak ,yes
How do you think society could stop the prejudices and stigmas against Roma people?,Kako bi lahko preprečili predsodke in izključevanje Romov?,Hvordan kan samfundet gøre op med fordomme om roma-folket?,Wie könnte die Gesellschaft deiner Meinung nach die Vorurteile und Stigmatisierungen gegen Roma stoppen?,Com creus que la societat podria aturar els prejudicis i estigmes contra els gitanos?,¿Cómo crees que la sociedad podría acabar con los prejuicios y estigmas contra los gitanos?,"Myślisz, że w jaki sposób społeczeństwo mogłoby powstrzymać uprzedzenia oraz stygmatyzację Romów?",How do you think society could stop the prejudice and stigma against Roma people?
21 million,21 milijonov,21 millioner,21 Millionen,21 milions,21 millones,21 milionów,21 million
Do you know the names of the three most famous \'Human Computers\'?,"Poznaš imena treh najslavnejših ""človeških računalnikov""?",Kender du navnene på de tre mest berømte \'menneskelige computere\'?,Kennst du die Namen der drei berühmtesten \' Human Computers\'?,"Coneixeu els noms dels tres ""Ordinadors humans"" més famosos?","¿Conoces los nombres de las tres ""Computadoras humanas"" más famosas?","Czy wiesz jak się nazywały trzy najbardziej znane \""ludzkie komputery""\?",Do you know the names of the three most famous \'Human Computers\'?
Approximately 50,Približno 50,Cirka 50,Ungefähr 50,Aproximadament 50,Aproximadamente 50,Około 50,Approximately 50
How many children in your country do speak another language at home than the language spoken in their school?,Koliko otrok v tvoji državi govori doma drug jezik kakor v šoli?,"Hvor mange børn i dit land taler et andet sprog derhjemme end det sprog, der tales i skolen?","Wie viele Kinder in deinem Land sprechen zu Hause eine andere Sprache als die, die in ihrer Schule gesprochen wird?",Quants nens del teu país parlen un altre idioma a casa que l’idioma que es parla a la seva escola?,¿Cuántos niños de tu país hablan un idioma diferente en casa que el idioma que se habla en su escuela?,Ile dzieci w Twoim kraju mówi w domu innym językiem niż obowiązuje w szkole?,How many children in your country do speak another language at home than the language spoken in their school?
Approximately 60,Približno 60,Cirka 60,Ungefähr 60,Aproximadamen 60,Aproximadamente 60,około 60,Approximately 60
39%,39 %,39%,39%,39%,39%,39%,39%
1 million,1 milijon,1 million,1 Million,1 milió,1 milion,1 milion,1 million
How many official languages are there in the EU?,Koliko uradnih jezikov obstaja v EU?,Hvor mange officielle sprog er der i EU?,Wie viele Amtssprachen gibt es in der EU?,Quantes llengües oficials hi ha a la UE?,¿Cuántas lenguas oficiales hay en la UE?,Ile jest oficjalnych języków w Unii Europejskiej?,How many official languages are there in the EU?
Did you know that the only European Cup for women’s soccer is the UFEA Women’s Champions League and has been held since 2001/02?,"Ali veš, da je ženska liga prvakov UEFA edini evropski pokal za ženski nogomet. Obstaja od leta 2001. ","Vidste du, at den eneste europæiske fodboldturnering for kvinder er UEFA Women's Champions League, som er blevet afholdt siden 2001/02?","Wussten Sie, dass der einzige Europapokal für Frauenfußball die UFEA Women's Champions League ist und seit 2001/02 ausgetragen wird?",Sabies que l’única Copa d’Europa de futbol femení és la Lliga de Campions Femenina UEFA i que se celebra des del 2001/02?,¿Sabías que la única Copa de Europa de fútbol femenino es la Liga de Campeones Femenina UEFA y que se celebra desde el 2001/02?,"Czy wiesz, że jedyny europejski pucharowy turniej piłkarski kobiet to Kobieca Liga Mistrzów UEFA, rozgrywana od sezonu 2001/02?",Did you know that the only European Cup for women’s soccer is the UFEA Women’s Champions League and has been held since 2001/02?
How many muslim population is living in Europe?,Koliko muslimanov živi v Evropi?,Hvor mange muslimer bor der i Europa?,Wie viel muslimische Bevölkerung lebt in Europa?,Quanta població musulmana viu a Europa?,¿Cuánta población musulmana vive en Europa?,Jak duża jest liczba muzułmanów w Europie?,How many Muslims are living in Europe?
Next,Naprej,Næste,Weiter,Següent,Siguiente,dalej,Next
Ignoring Thomas and keep playing,Ignoriral/a bi Tomaža in se igral/a naprej,Ignorer Thomas og bliv ved med at spille,Thomas ignorieren und weiter spielen,Ignora en Thomas i continua jugant,Ignora a Thomas y continúa jugando,Ignorują Thomasa i kontnuują grę ,Ignore Thomas and keep playing
"Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan","Mary Jackson, Katherine Johnson, Dorothy Vaughan"
We Speak Many Languages,Govorimo številne jezike,Vi taler mange sprog,Wir sprechen viele Sprachen,Parlem moltes llengües,Hablamos muchas lenguas,Rozmawiamy w wielu językach,We Speak Many Languages
How many children (0-14 years) do you think lived in the European Union in 2014?,Koliko otrok mlajših od 14 let je leta 2014 živelo v Evropski uniji? ,Hvor mange børn (0-14 år) tror du boede i EU i 2014?,Wie viele Kinder (0-14 Jahre) leben deiner Meinung nach im Jahr 2014 in der Europäischen Union?,Quants nens i nenes (0-14 anys) creus que vivien a la Unió Europea el 2014?,¿Cuántos niños y niñas (0-14 años) crees que vivían en la Unión Europea en 2014?,"Jak myślisz, ile dzieci (0-14 lat) zamieszkiwało Unię Europejską w 2014 roku?",How many children (0-14 years) do you think lived in the European Union in 2014?
FAQ,PZV (FAQ),FAQ ,FAQ,Preguntes freqüents,Preguntas frecuentes,FAQ,FAQ
"Halal is an Arabic word and it can be translated as “permissible”. Halal food is the one which adheres to Islamic law, defined in the Qur\'an.\n\nThe opposite of Halal is Haram, and it means “forbidden”. The most popular haram food is pork, but it is also haram the blood of any animal, animals that have died of natural causes or animals that are not sacrificed in the name of Allah.","Halal je arabska beseda, ki jo lahko prevedemo v ""dovoljeno"". Halal hrana je po islamskem pravu dovoljena hrana.\n\nNajbolj prepoznana haram hrana je svinjina. Prepovedano je tudi meso živali, ki so umrle naravne smrti ali niso bile usmrčene skladno z verskimi pravili.","Halal er et arabisk ord, der betyder ""tilladt"". Halalmad er mad, der overholder islamisk lov, beskrevet i Koranen. Det modsatte af Halal er Haram, der betyder ""forbudt"". Svinekød er den type mad, der er mest kendt for at være Haram. Men blod fra alle dyr - selv døde dyr - og dyr, der ikke er slagtet i Allahs navn, er også Haram (forbudt).","Halal ist ein arabisches Wort und kann mit ""zulässig"" übersetzt werden. Halal-Lebensmittel sind solche, die sich an das islamische Gesetz halten, das im Koran definiert ist.\n\nDas Gegenteil von Halal ist Haram, und es bedeutet ""verboten"". Das beliebteste Haram-Lebensmittel ist Schweinefleisch, aber es ist auch das Blut eines jeden Tieres haram, Tiere, die eines natürlichen Todes gestorben sind oder Tiere, die nicht im Namen Allahs geopfert werden.","Halal és una paraula àrab que es pot traduir com a ""permissible"". L'aliment halal és el que cumpleix amb a la llei islàmica, definida a l'Alcorà.\n\nL'oposat de halal és haram, i significa ""prohibit"". L’aliment haram més popular és el porc, però també ho és la sang de qualsevol animal, animals que han mort per causes naturals o animals que no són sacrificats en nom d’Al·là.","Halal es una palabra árabe que se puede traducir como ""permisible"". El alimento halal es el que cumple con la ley islámica, definida en el Corán.\n\nLo opuesto a halal es haram, y significa ""prohibido"". El alimento haram más popular es el cerdo, pero también lo es la sangre de cualquier animal, animales que han muerto por causas naturales o animales que no son sacrificados en nombre de Alá.","Halal jest słowem arabskim i może być tłumaczone jako ""coś dozwolonego"". Jedzenie halal ma związek z prawem islamskim, zdefiniowanym w Koranie.\n\nJego przeciwieństwem jest słowo haram, oznaczające ""coś zabronionego"". Najbardziej popularnym zabronionym pożywieniem jest wieprzowina, nie mniej zabronione jest spożywanie krwi jakiegokolwiek zwierzęcia lub zwierząt, które zdechły z przyczyn naturalnych lub nie zostały poświęcone w imię Allacha ","Halal is an Arabic word and it can be translated as “permissible”. Halal food is the one which adheres to Islamic law, defined in the Qur\'an.\n\nThe opposite of Halal is Haram, and it means “forbidden”. The most well known haram food is pork, but it is also haram to eat the blood of any animal, animals that have died of natural causes or animals that are not sacrificed in the name of Allah."
Daily challenge,Dnevni izziv,Daglig udfordring,Tägliche Herausforderung,Repte diari,Reto diario,Wyzwanie dnia,Daily challenge
Paul And Fatima,Paul in Fatima,Paul og Fatima,Paul und Fatima,Paul i Fàtima,Paul y Fátima,Paweł i Fatima,Paul And Fatima
About,O,Om,Über,Quant a,Acerca de,"O aplikacji (about application - we needed to add this if this is correct as in Polish about is ""o"" and it must be followed by noun - language rule - if it not stand for application please let us know what it is about)",About
"If you were in a similar situation, what would you do?",Kaj bi storil/a v podobni situaciji?,"Hvad ville du gøre, hvis du var i en lignende situation?","Wenn du in einer ähnlichen Situation wärst, was würdest du tun?","Si et trobessis en una situació similar, què faries?","Si te encontraras en una situación similar, ¿qué harías?","Gdybyś był(a) w podobnej sytuacji, to co być zrobił(a)?","If you were in a similar situation, what would you do?"
62%,62 %,62%,62%,62%,62%,62%,62%
200 million,200 milijonov,200 millioner,200 Millionen,200 milions,200 millones,200 milionów,200 million
